vertices,threads,execution_time,cliques
4,1,0.0385552,2
4,4,0.0022195,2
4,12,0.0019172,2
15,1,0.0263077,33
15,4,0.018738,33
15,12,0.0246868,33
100,1,14.0709587,49026
100,4,4.0618404,49026
100,12,2.0333118,49026
4,1,12,0.0373665,2
4,2,12,0.0013095,2
4,4,12,0.0026133,2
4,12,12,0.0017644,2
15,1,12,0.0185343,33
15,2,12,0.0069225,33
15,4,12,0.0065201,33
15,12,12,0.0093702,33
100,1,12,15.2947139,49026
100,4,12,5.1459833,49026
100,12,12,3.2265752,49026
4,1,12,0.033844,2
4,2,12,0.0021133,2
4,4,12,0.0020353,2
4,12,12,0.002878,2
15,1,12,0.0299891,33
15,2,12,0.0650282,33
15,4,12,0.043749,33
15,12,12,0.0253823,33
100,1,12,14.6932521,49026
100,4,12,4.294177,49026
100,12,12,2.3275383,49026
200,4,12,510.7961242,49026
200,12,12,311.5396221,2951084
