dataset,model,vertices,processes,threads,execution_time,cliques
sparse_runs,Sequential,4,1,1,0.004031,4
sparse_runs,Sequential,15,1,1,0.0088016,45
sparse_runs,Sequential,100,1,1,0.221253,11463
sparse_runs,Sequential,200,1,1,1.6443254,183496
sparse_runs,Shared,4,1,4,0.0020555,4
sparse_runs,Shared,4,1,6,0.0016803,4
sparse_runs,Shared,4,1,12,0.0021958,4
sparse_runs,Shared,15,1,1,0.0072811,45
sparse_runs,Shared,15,1,4,0.0299714,45
sparse_runs,Shared,15,1,6,0.0078827,45
sparse_runs,Shared,15,1,12,0.0175921,45
sparse_runs,Shared,100,1,1,0.2410083,11463
sparse_runs,Shared,100,1,4,0.0857272,11463
sparse_runs,Shared,100,1,6,0.0905824,11463
sparse_runs,Shared,100,1,12,0.0830814,11463
sparse_runs,Shared,200,1,1,2.1086086,183496
sparse_runs,Shared,200,1,4,0.5428273,183496
sparse_runs,Shared,200,1,6,0.3671697,183496
sparse_runs,Shared,200,1,12,0.2780207,183496
sparse_runs,Shared,4,1,1,0.0178763,2
sparse_runs,Shared,4,1,4,0.0013878,2
sparse_runs,Shared,4,1,6,0.0013053,2
sparse_runs,Shared,4,1,12,0.001144,2
sparse_runs,Shared,15,1,1,0.0042604,19
sparse_runs,Shared,15,1,4,0.0021491,19
sparse_runs,Shared,15,1,6,0.0022468,19
sparse_runs,Shared,15,1,12,0.0035174,19
sparse_runs,Shared,100,1,1,0.1448973,2654
sparse_runs,Shared,100,1,4,0.0700412,2654
sparse_runs,Shared,100,1,6,0.0582269,2654
sparse_runs,Shared,100,1,12,0.0568308,2654
sparse_runs,Shared,200,1,1,1.7471145,36513
sparse_runs,Shared,200,1,4,0.4284547,36513
sparse_runs,Shared,200,1,6,0.333489,36513
sparse_runs,Shared,200,1,12,0.2396268,36513
sparse_runs,Shared,4,1,1,0.0162762,2
sparse_runs,Shared,4,1,4,0.0018054,2
sparse_runs,Shared,4,1,6,0.0015737,2
sparse_runs,Shared,4,1,12,0.0012281,2
sparse_runs,Shared,15,1,1,0.0041458,19
sparse_runs,Shared,15,1,4,0.0023325,19
sparse_runs,Shared,15,1,6,0.0018184,19
sparse_runs,Shared,15,1,12,0.0032355,19
sparse_runs,Shared,100,1,1,0.1578228,2654
sparse_runs,Shared,100,1,4,0.063725,2654
sparse_runs,Shared,100,1,6,0.0640521,2654
sparse_runs,Shared,100,1,12,0.0622129,2654
sparse_runs,Shared,200,1,1,1.7365363,36513
sparse_runs,Shared,200,1,4,0.4499879,36513
sparse_runs,Shared,200,1,6,0.3293516,36513
sparse_runs,Shared,200,1,12,0.303799,36513
sparse_runs,Distributed,4,2,1,0.0033987,2
sparse_runs,Distributed,15,2,1,0.0013299,19
sparse_runs,Distributed,100,2,1,0.1313242,2654
sparse_runs,Distributed,200,2,1,2.035817,36513
sparse_runs,Distributed,4,2,1,0.0035585,2
sparse_runs,Distributed,15,2,1,0.0037769,19
sparse_runs,Distributed,100,2,1,0.1679632,2654
sparse_runs,Distributed,200,2,1,1.5542336,36513
sparse_runs,Distributed,4,1,1,0.0021047,2
sparse_runs,Distributed,15,1,1,0.0046935,19
sparse_runs,Distributed,100,1,1,0.2108996,2654
sparse_runs,Distributed,200,1,1,2.421049,36513
sparse_runs,Distributed,4,3,1,0.004493,2
sparse_runs,Distributed,15,3,1,0.0038911,19
sparse_runs,Distributed,100,3,1,0.267837,2654
sparse_runs,Distributed,200,3,1,1.8238794,36513
sparse_runs,Distributed,4,4,1,0.0040307,2
sparse_runs,Distributed,15,4,1,0.0046508,19
sparse_runs,Distributed,100,4,1,0.200847,2654
sparse_runs,Distributed,200,4,1,1.2927124,36513
sparse_runs,Distributed,4,5,1,0.0042397,2
sparse_runs,Distributed,15,5,1,0.0030741,19
sparse_runs,Distributed,100,5,1,0.196888,2654
sparse_runs,Distributed,200,5,1,1.3625816,36513
sparse_runs,Distributed,4,6,1,0.0052033,2
sparse_runs,Distributed,15,6,1,0.0092799,19
sparse_runs,Distributed,100,6,1,0.2076759,2654
sparse_runs,Distributed,200,6,1,1.4050738,36513
dense_runs,Sequential,4,1,1,0.0088615,2
dense_runs,Sequential,15,1,1,0.0243671,33
dense_runs,Sequential,100,1,1,12.8795605,49026
dense_runs,Sequential,200,1,1,1574.7507126,2951084
dense_runs,Shared,4,1,1,0.0385552,2
dense_runs,Shared,4,1,4,0.0022195,2
dense_runs,Shared,4,1,12,0.0019172,2
dense_runs,Shared,15,1,1,0.0263077,33
dense_runs,Shared,15,1,4,0.018738,33
dense_runs,Shared,15,1,12,0.0246868,33
dense_runs,Shared,100,1,1,14.0709587,49026
dense_runs,Shared,100,1,4,4.0618404,49026
dense_runs,Shared,100,1,12,2.0333118,49026
dense_runs,Shared,4,1,1,0.0373665,2
dense_runs,Shared,4,1,2,0.0013095,2
dense_runs,Shared,4,1,4,0.0026133,2
dense_runs,Shared,4,1,12,0.0017644,2
dense_runs,Shared,15,1,1,0.0185343,33
dense_runs,Shared,15,1,2,0.0069225,33
dense_runs,Shared,15,1,4,0.0065201,33
dense_runs,Shared,15,1,12,0.0093702,33
dense_runs,Shared,100,1,1,15.2947139,49026
dense_runs,Shared,100,1,4,5.1459833,49026
dense_runs,Shared,100,1,12,3.2265752,49026
dense_runs,Shared,4,1,1,0.033844,2
dense_runs,Shared,4,1,2,0.0021133,2
dense_runs,Shared,4,1,4,0.0020353,2
dense_runs,Shared,4,1,12,0.002878,2
dense_runs,Shared,15,1,1,0.0299891,33
dense_runs,Shared,15,1,2,0.0650282,33
dense_runs,Shared,15,1,4,0.043749,33
dense_runs,Shared,15,1,12,0.0253823,33
dense_runs,Shared,100,1,1,14.6932521,49026
dense_runs,Shared,100,1,4,4.294177,49026
dense_runs,Shared,100,1,12,2.3275383,49026
dense_runs,Shared,200,1,4,510.7961242,49026
dense_runs,Shared,200,1,12,311.5396221,2951084
dense_runs,Distributed,4,2,1,0.0024231,2
dense_runs,Distributed,15,2,1,0.0147469,33
dense_runs,Distributed,100,2,1,8.320759,49026
dense_runs,Distributed,200,2,1,801.607153,2951084
dense_runs,Distributed,4,4,1,0.008242,2
dense_runs,Distributed,15,4,1,0.0103296,33
dense_runs,Distributed,100,4,1,5.1610951,49026
dense_runs,Distributed,200,4,1,450.8273973,2951084
dense_runs,Hybrid,4,4,3,0.0189197,2
dense_runs,Hybrid,15,4,3,0.0087878,33
dense_runs,Hybrid,100,4,3,4.4559708,49026
dense_runs,Hybrid,200,4,3,234.0521393,2951084
dense_runs,Hybrid,4,2,6,0.0107936,2
dense_runs,Hybrid,15,2,6,0.0142519,33
dense_runs,Hybrid,100,2,6,3.0784809,49026
dense_runs,Hybrid,200,2,6,241.3022264,2951084
